period_start,period_end,train_start,train_end,test_start,test_end,optimizer_method,train_annual_return,test_annual_return,test_total_return,test_max_drawdown,test_sharpe,test_calmar,test_weeks,rebalance_cost_pct
2024-08-04,2025-07-27,2020-08-09,2024-07-28,2024-08-04,2025-07-27,max_sharpe,0.640387905949769,0.9597945266799712,0.9345996593466048,-0.3959806579372272,1.6715274002581773,2.4238419413710925,51,0.1500003
2025-08-03,2026-07-26,2021-08-08,2025-07-27,2025-08-03,2026-07-26,max_sharpe,0.5180863382275396,0.1937078790316733,0.18965011678905208,-0.1222735528779657,0.9482387591284168,1.5842173100588821,51,0.15606298787462428
