period_start,period_end,train_start,train_end,test_start,test_end,optimizer_method,train_annual_return,test_annual_return,test_total_return,test_max_drawdown,test_sharpe,test_calmar,test_weeks,rebalance_cost_pct
2024-08-04,2025-07-27,2020-08-09,2024-07-28,2024-08-04,2025-07-27,max_sharpe,0.6403878970646253,0.9597944203522906,0.934599556404335,-0.3959806747943957,1.6715274064116812,2.423841569669133,51,0.1500003
2025-08-03,2026-07-26,2021-08-08,2025-07-27,2025-08-03,2026-07-26,max_sharpe,0.5180863434106024,0.19370787582755233,0.18965011365723106,-0.12227357602467662,0.9482387497726048,1.5842169839578357,51,0.15606298787462428
